District,District Name,School,School Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
10,Anderson County,2,Anderson County High School,All Students,236,97,18.9,19.1,19.9,19.7,19.5,93,39.4,113,47.9
10,Anderson County,2,Anderson County High School,Black/Hispanic/Native American,9,*,*,*,*,*,*,*,*,*,*
10,Anderson County,2,Anderson County High School,Economically Disadvantaged,71,96,17.3,17.9,18.1,18.3,18.1,20,28.2,44,62
10,Anderson County,2,Anderson County High School,Students with Disabilities,35,95,13.6,15.2,14.1,15.2,14.6,3,8.6,32,91.4
10,Anderson County,25,Clinton High School,All Students,235,96,17.8,17.6,19.2,18.6,18.5,72,30.6,132,56.2
10,Anderson County,25,Clinton High School,Black/Hispanic/Native American,23,96,16.2,16.3,18.3,17,17.1,3,13,16,69.6
10,Anderson County,25,Clinton High School,Economically Disadvantaged,96,94,16.6,16.7,17.9,17.4,17.2,19,19.8,65,67.7
10,Anderson County,25,Clinton High School,Students with Disabilities,23,100,12.3,14.7,13.8,14.6,14,**,**,**,**
12,Oak Ridge,35,Oak Ridge High School,All Students,326,98,22.3,21.6,23.5,22.6,22.7,187,57.4,95,29.1
12,Oak Ridge,35,Oak Ridge High School,Black/Hispanic/Native American,75,99,18.1,18.6,20.2,19.6,19.3,28,37.3,39,52
12,Oak Ridge,35,Oak Ridge High School,Economically Disadvantaged,83,99,18.3,18.8,20,19.8,19.4,32,38.6,41,49.4
12,Oak Ridge,35,Oak Ridge High School,English Learners,7,*,*,*,*,*,*,*,*,*,*
12,Oak Ridge,35,Oak Ridge High School,Students with Disabilities,36,97,16.4,17,18.9,18.5,17.9,9,25,23,63.9
20,Bedford County,13,Cascade High School,All Students,102,89,20.9,19.5,21.2,20.4,20.6,49,48,40,39.2
20,Bedford County,13,Cascade High School,Black/Hispanic/Native American,16,84,17.1,17.7,17.3,19.1,17.9,4,25,10,62.5
20,Bedford County,13,Cascade High School,Economically Disadvantaged,26,93,17.5,17,17.6,17.6,17.6,6,23.1,18,69.2
20,Bedford County,13,Cascade High School,Students with Disabilities,4,*,*,*,*,*,*,*,*,*,*
20,Bedford County,20,Shelbyville Central High School,All Students,309,97,17.5,17.5,18.5,18.5,18.2,94,30.4,174,56.3
20,Bedford County,20,Shelbyville Central High School,Black/Hispanic/Native American,172,97,16,16.5,17.3,17.4,17,31,18,121,70.3
20,Bedford County,20,Shelbyville Central High School,Economically Disadvantaged,148,96,16.9,16.9,18.2,18.1,17.7,34,23,92,62.2
20,Bedford County,20,Shelbyville Central High School,English Learners,39,100,11.9,14.9,13.3,14.7,14,**,**,**,**
